Change Component Comment : Designator=C23 Old Comment=NA Cap  New Comment=NA Cap
Change Component Comment : Designator=C24 Old Comment=NA Cap  New Comment=NA Cap
Change Component Comment : Designator=C25 Old Comment=NA Cap  New Comment=NA Cap
Change component parameters: Designator = "J12" ("J12"); Footprint = "MOLEX KK 0022272041"; UniqueID = "\AHDEUJYO" ("\AHDEUJYO")
Change component parameters (AddParameter): Name = "ADAM Inventory Number 1"; Value = "E00076"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number 1"; Value = "0022272041"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Mouser"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "538-22-27-2041"; VariantName = "[No Variations]"
Added Component: Designator=D10(TVS DIODE)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Bidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.taiwansemi.com/products/datasheet/P4SMA%20SERIES_Q1705.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/P4SMA36CA-R3G/P4SMA36CAR3GCT-ND/7357928"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Peak Pulse (10/1000탎)"; Value = "8.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "2023-04-16 20:19:58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiwan Semiconductor Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "P4SMA36CA R3G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55캜 ~ 150캜 (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "DO-214AC, SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "7281"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power - Peak Pulse"; Value = "400W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "P4SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "DO-214AC (SMA)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P4SMA36CAR3GCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Zener"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Breakdown (Min)"; Value = "34.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Clamping (Max) @ Ipp"; Value = "49.9V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Reverse Standoff (Typ)"; Value = "30.8V"; VariantName = "[No Variations]"
Added Component: Designator=D11(TVS DIODE)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Bidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.taiwansemi.com/products/datasheet/P4SMA%20SERIES_Q1705.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/P4SMA36CA-R3G/P4SMA36CAR3GCT-ND/7357928"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Peak Pulse (10/1000탎)"; Value = "8.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "2023-04-16 20:19:58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiwan Semiconductor Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "P4SMA36CA R3G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55캜 ~ 150캜 (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "DO-214AC, SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "7281"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power - Peak Pulse"; Value = "400W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "P4SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "DO-214AC (SMA)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P4SMA36CAR3GCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Zener"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Breakdown (Min)"; Value = "34.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Clamping (Max) @ Ipp"; Value = "49.9V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Reverse Standoff (Typ)"; Value = "30.8V"; VariantName = "[No Variations]"
Added Component: Designator=D12(TVS DIODE)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Bidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.taiwansemi.com/products/datasheet/P4SMA%20SERIES_Q1705.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/P4SMA36CA-R3G/P4SMA36CAR3GCT-ND/7357928"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Peak Pulse (10/1000탎)"; Value = "8.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "2023-04-16 20:19:58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiwan Semiconductor Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "P4SMA36CA R3G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55캜 ~ 150캜 (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "DO-214AC, SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "7281"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power - Peak Pulse"; Value = "400W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "P4SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "DO-214AC (SMA)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P4SMA36CAR3GCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Zener"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Breakdown (Min)"; Value = "34.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Clamping (Max) @ Ipp"; Value = "49.9V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Reverse Standoff (Typ)"; Value = "30.8V"; VariantName = "[No Variations]"
Added Component: Designator=D13(TVS DIODE)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Bidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.taiwansemi.com/products/datasheet/P4SMA%20SERIES_Q1705.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/P4SMA36CA-R3G/P4SMA36CAR3GCT-ND/7357928"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Peak Pulse (10/1000탎)"; Value = "8.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "2023-04-16 20:19:58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiwan Semiconductor Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "P4SMA36CA R3G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55캜 ~ 150캜 (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "DO-214AC, SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "7281"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power - Peak Pulse"; Value = "400W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.11"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Series"; Value = "P4SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Device Package"; Value = "DO-214AC (SMA)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P4SMA36CAR3GCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Zener"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Breakdown (Min)"; Value = "34.2V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Clamping (Max) @ Ipp"; Value = "49.9V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage - Reverse Standoff (Typ)"; Value = "30.8V"; VariantName = "[No Variations]"
Added Component: Designator=D14(TVS DIODE)
Add component (AddParameter): Name = "Applications"; Value = "General Purpose"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Bidirectional Channels"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.taiwansemi.com/products/datasheet/P4SMA%20SERIES_Q1705.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/taiwan-semiconductor-corporation/P4SMA36CA-R3G/P4SMA36CAR3GCT-ND/7357928"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Current - Peak Pulse (10/1000탎)"; Value = "8.4A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LastUpdated"; Value = "2023-04-16 20:19:58"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Taiwan Semiconductor Corporation"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number 1"; Value = "P4SMA36CA R3G"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Temperature"; Value = "-55캜 ~ 150캜 (TJ)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package / Case"; Value = "DO-214AC, SMA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeAndReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PartId"; Value = "7281"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power - Peak Pulse"; Value = "400W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Price"; Value = "0.11"; VariantName = "[No Variations]"
